series_id,station_id,station,river,var_id,network,lat,lon,cat_start,cat_end
26287,45,Ibicuy,PARANAIBICUY,39,alturas_prefe,-33.7619777376355,-59.1800594404244,1983-01-01T00:00:00,2026-08-29T00:00:00
47,47,Martín García,RIODELAPLATA,2,alturas_prefe,-34.1902896924007,-58.2530455191105,2006-01-01T04:00:00,2026-08-30T00:00:00
48,48,Guazucito,PARANAGUAZU,2,alturas_prefe,-34.0166666667,-58.4,2006-01-01T04:00:00,2026-08-30T00:00:00
49,49,Tigre,LUJAN,2,alturas_prefe,-34.4159316389634,-58.5779747237367,2006-01-01T04:00:00,2026-08-30T00:00:00
26291,49,Tigre,LUJAN,39,alturas_prefe,-34.4159316389634,-58.5779747237367,2006-01-01T00:00:00,2026-08-29T00:00:00
51,51,Chaná Miní,CHANA,2,alturas_prefe,-34.2,-58.4833333333,2006-01-01T04:00:00,2026-08-30T00:00:00
52,52,San Fernando,LUJAN,2,alturas_prefe,-34.4333333333,-58.55,2006-01-01T04:00:00,2026-08-30T20:45:00
54,54,Olivos,RIODELAPLATA,2,alturas_prefe,-34.506666,-58.475863,1999-01-01T04:00:00,2026-08-30T00:00:00
26296,54,Olivos,RIODELAPLATA,39,alturas_prefe,-34.506666,-58.475863,1999-01-01T00:00:00,2026-08-29T00:00:00
26652,55,Puerto Pilcomayo,PARAGUAY,40,alturas_prefe,-25.3666666666667,-57.65,1970-01-01T00:00:00,2026-08-29T00:00:00
58,58,Bermejo,PARAGUAY,2,alturas_prefe,-26.92629,-58.506205,1957-02-16T07:00:00,2026-08-30T00:00:00
26300,58,Bermejo,PARAGUAY,39,alturas_prefe,-26.92629,-58.506205,1970-01-01T00:00:00,2026-08-29T00:00:00
60,60,Pepirí Miní,URUGUAY,2,alturas_prefe,-27.153744,-53.933149,1984-01-03T06:00:00,2026-08-30T00:00:00
26658,61,El Soberbio,URUGUAY,40,alturas_prefe,-27.3,-54.2,1980-04-25T00:00:00,2026-08-29T00:00:00
64,64,Panambí,URUGUAY,2,alturas_prefe,-27.730627,-54.91305,1984-01-03T06:00:00,2026-08-30T00:00:00
26306,64,Panambí,URUGUAY,39,alturas_prefe,-27.730627,-54.91305,1984-01-03T00:00:00,2026-08-29T00:00:00
914,65,San Javier,URUGUAY,4,alturas_prefe,-27.8833333333333,-55.1333333333333,1923-10-02T07:00:00,2026-08-30T00:00:00
26307,65,San Javier,URUGUAY,39,alturas_prefe,-27.8833333333333,-55.1333333333333,1970-01-01T00:00:00,2026-08-29T00:00:00
26662,65,San Javier,URUGUAY,40,alturas_prefe,-27.8833333333333,-55.1333333333333,1970-01-01T00:00:00,2026-08-29T00:00:00
66,66,Puerto Concepción,URUGUAY,2,alturas_prefe,-28.119193,-55.581369,2006-01-02T04:00:00,2026-08-30T00:00:00
26308,66,Puerto Concepción,URUGUAY,39,alturas_prefe,-28.119193,-55.581369,2006-01-02T00:00:00,2026-08-29T00:00:00
67,67,Garruchos,URUGUAY,2,alturas_prefe,-28.1833333333333,-55.65,1931-01-01T09:00:00,2026-08-30T00:00:00
26309,67,Garruchos,URUGUAY,39,alturas_prefe,-28.1833333333333,-55.65,1970-01-01T00:00:00,2026-08-29T00:00:00
26664,67,Garruchos,URUGUAY,40,alturas_prefe,-28.1833333333333,-55.65,1970-01-01T00:00:00,2026-08-29T00:00:00
68,68,Santo Tomé,URUGUAY,2,alturas_prefe,-28.55,-56.0333333333333,1907-12-02T07:00:00,2026-08-30T00:00:00
70,70,La Cruz,URUGUAY,2,alturas_prefe,-29.18062,-56.633977,2006-01-01T04:00:00,2026-08-30T00:00:00
71,71,Yapeyú,URUGUAY,2,alturas_prefe,-29.470031,-56.810674,2006-01-01T04:00:00,2026-08-30T00:00:00
921,72,Paso de los Libres,URUGUAY,4,alturas_prefe,-29.7166666666667,-57.0833333333333,1908-03-08T07:00:00,2026-08-30T00:00:00
73,73,Bompland,URUGUAY,2,alturas_prefe,-29.872652,-57.332887,2006-01-01T04:00:00,2026-08-30T00:00:00
74,74,Monte Caseros,URUGUAY,2,alturas_prefe,-30.25,-57.6333333333333,1905-03-14T07:00:00,2026-08-30T00:00:00
75,75,Mocoretá,URUGUAY,2,alturas_prefe,-30.715682,-57.81776,2006-01-01T04:00:00,2026-08-30T00:00:00
26318,76,Federación,URUGUAY,39,alturas_prefe,-30.993221,-57.914682,2006-01-01T00:00:00,2026-07-16T00:00:00
77,77,Salto Grande Arriba,URUGUAY,2,alturas_prefe,-31.27547,-57.936945,1995-05-01T06:00:00,2026-08-30T00:00:00
926,77,Salto Grande Arriba,URUGUAY,4,alturas_prefe,-31.27547,-57.936945,1995-05-01T06:00:00,2026-08-30T00:00:00
26674,77,Salto Grande Arriba,URUGUAY,40,alturas_prefe,-31.27547,-57.936945,1995-05-01T00:00:00,2026-08-29T00:00:00
78,78,Salto Grande Abajo,URUGUAY,2,alturas_prefe,-31.27547,-57.936945,2006-01-01T04:00:00,2026-08-30T00:00:00
26675,78,Salto Grande Abajo,URUGUAY,40,alturas_prefe,-31.27547,-57.936945,2006-01-01T00:00:00,2026-08-29T00:00:00
928,79,Concordia,URUGUAY,4,alturas_prefe,-31.4,-58.0166666666667,1931-01-01T07:00:00,2026-07-15T00:00:00
26321,79,Concordia,URUGUAY,39,alturas_prefe,-31.4,-58.0166666666667,1970-01-01T00:00:00,2026-08-29T00:00:00
