series_id,station,river,var_id,network,lat,lon,years,record_start,start_source,donor,donor_km
38566,Chubut - Los Altares,,101,sat2,-43.8886111111111,-68.3983333333333,2.7,2024-09-16,catalogue,Chubut - Los Altares,0.1
38230,Aº Saladillo Dulce - RP Nº 81,,39,sat2,-30.8547222222222,-60.2822222222222,2.7,2024-09-14,catalogue,Saladillo Dulce - La Noria (RP 281),0.0
38565,Senguerr - Los Molinos,,101,sat2,-45.9861111111111,-69.475,2.7,2024-09-17,catalogue,Senguerr-Los Molinos,0.0
38458,Aº Riachuelo - RP Nº5,,101,sat2,-27.5105555555556,-58.5697222222222,2.7,2024-09-16,catalogue,Riachuelo - Rp Nº 5,0.0
18621,Federación Embalse,Uruguay,2,alturas_prefe,-30.994853,-57.899273,6.7,2020-08-05,catalogue,Mocoretá - Rnnº 014,41.6
71,Yapeyú,URUGUAY,2,alturas_prefe,-29.470031,-56.810674,20.7,2006-01-01,catalogue,,
32679,Seco - RN Nº 157,,2,sat2,-27.3361111111111,-65.3175,3.7,2023-02-07,catalogue,Dulce - Dique los Quiroga,100.5
6929,De los Patos - La Plateada,,2,sat2,-31.8552777777778,-69.6605555555556,5.7,2021-09-01,catalogue,EL DURAZNO - LA FLORIDA,461.6
38464,Riacho Victoria - Victoria,Riacho Victoria,101,sat2,-32.6316666666667,-60.1652777777778,2.7,2024-09-16,catalogue,Nogoyá Ruta Provincial nº 11,36.6
52,San Fernando,LUJAN,2,alturas_prefe,-34.4333333333,-58.55,20.7,2006-01-01,catalogue,,
26327,Buenos Aires,RIODELAPLATA,39,alturas_prefe,-34.56108,-58.399288,20.7,2006-01-01,catalogue,,
