series_id,station_id,station,river,variable,var_id,unit,network,procedure,lat,lon,live,n_obs,last_seen,percentiles
11,11,El Dorado,PARANAMED,Altura hidrométrica,2,,alturas_prefe,,-26.3833333333333,-54.7,,,,
26608,11,El Dorado,PARANAMED,Caudal medio diario,40,,alturas_prefe,,-26.3833333333333,-54.7,,,,
12,12,Libertador,PARANAMED,Altura hidrométrica,2,,alturas_prefe,,-26.8,-55.0333333333333,,,,
26609,12,Libertador,PARANAMED,Caudal medio diario,40,,alturas_prefe,,-26.8,-55.0333333333333,,,,
26610,13,Santa Ana,PARANAMED,Caudal medio diario,40,,alturas_prefe,,-27.33509,-55.588412,False,0,,
14,14,Posadas,PARANAMED,Altura hidrométrica,2,,alturas_prefe,,-27.3666666666667,-55.8833333333333,,,,
863,14,Posadas,PARANAMED,Caudal,4,,alturas_prefe,,-27.3666666666667,-55.8833333333333,False,0,,
15,15,Ituzaingó,PARANAMED,Altura hidrométrica,2,,alturas_prefe,,-27.5833333333333,-56.7,,,,
26258,16,Itá Ibaté,PARANAMED,Altura hidrométrica media diaria,39,,alturas_prefe,,-27.42336098,-57.33326783,,,,
26259,17,Itatí,PARANAMED,Altura hidrométrica media diaria,39,,alturas_prefe,,-27.26677773,-58.24407387,,,,
867,18,Paso de la Patria,PARANAMED,Caudal,4,,alturas_prefe,,-27.3333333333333,-58.5833333333333,False,0,,
26260,18,Paso de la Patria,PARANAMED,Altura hidrométrica media diaria,39,,alturas_prefe,,-27.3333333333333,-58.5833333333333,,,,
26615,18,Paso de la Patria,PARANAMED,Caudal medio diario,40,,alturas_prefe,,-27.3333333333333,-58.5833333333333,,,,
19,19,Corrientes,PARANAMED,Altura hidrométrica,2,,alturas_prefe,,-27.46364349,-58.8388696,,,,
1540,19,Corrientes,PARANAMED,Altura hidrométrica,2,,alturas_prefe,,-27.46364349,-58.8388696,False,0,,
1538,19,Corrientes,PARANAMED,Caudal,4,,alturas_prefe,,-27.46364349,-58.8388696,False,0,,
26261,19,Corrientes,PARANAMED,Altura hidrométrica media diaria,39,,alturas_prefe,,-27.46364349,-58.8388696,True,2,2026-08-29T03:00:00.000Z,
30113,19,Corrientes,PARANAMED,Caudal medio diario,40,,alturas_prefe,,-27.46364349,-58.8388696,False,0,,
30114,19,Corrientes,PARANAMED,Caudal medio diario,40,,alturas_prefe,,-27.46364349,-58.8388696,,,,
20,20,Barranqueras,BARRANQUERAS,Altura hidrométrica,2,,alturas_prefe,,-27.4833333333333,-58.9333333333333,,,,
869,20,Barranqueras,BARRANQUERAS,Caudal,4,,alturas_prefe,,-27.4833333333333,-58.9333333333333,,,,
26262,20,Barranqueras,BARRANQUERAS,Altura hidrométrica media diaria,39,,alturas_prefe,,-27.4833333333333,-58.9333333333333,,,,
26617,20,Barranqueras,BARRANQUERAS,Caudal medio diario,40,,alturas_prefe,,-27.4833333333333,-58.9333333333333,False,0,,
21,21,Empedrado,PARANAINF,Altura hidrométrica,2,,alturas_prefe,,-27.95412346,-58.81852419,,,,
26263,21,Empedrado,PARANAINF,Altura hidrométrica media diaria,39,,alturas_prefe,,-27.95412346,-58.81852419,True,2,2026-08-29T03:00:00.000Z,
26618,21,Empedrado,PARANAINF,Caudal medio diario,40,,alturas_prefe,,-27.95412346,-58.81852419,,,,
871,22,Bella Vista,PARANAINF,Caudal,4,,alturas_prefe,,-28.51840072,-59.05931723,,,,
9617,22,Bella Vista,PARANAINF,Caudal,4,,alturas_prefe,,-28.51840072,-59.05931723,,,,
26264,22,Bella Vista,PARANAINF,Altura hidrométrica media diaria,39,,alturas_prefe,,-28.51840072,-59.05931723,,,,
26619,22,Bella Vista,PARANAINF,Caudal medio diario,40,,alturas_prefe,,-28.51840072,-59.05931723,,,,
872,23,Goya,PARANAINF,Caudal,4,,alturas_prefe,,-29.14376844,-59.27303952,False,0,,
26620,23,Goya,PARANAINF,Caudal medio diario,40,,alturas_prefe,,-29.14376844,-59.27303952,,,,
873,24,Reconquista,SANJAVIER,Caudal,4,,alturas_prefe,,-29.23756092,-59.58115833,,,,
26266,24,Reconquista,SANJAVIER,Altura hidrométrica media diaria,39,,alturas_prefe,,-29.23756092,-59.58115833,True,2,2026-08-29T03:00:00.000Z,
26621,24,Reconquista,SANJAVIER,Caudal medio diario,40,,alturas_prefe,,-29.23756092,-59.58115833,False,0,,
25,25,Esquina,PARANAINF,Altura hidrométrica,2,,alturas_prefe,,-30.01924089,-59.53663483,,,,
26267,25,Esquina,PARANAINF,Altura hidrométrica media diaria,39,,alturas_prefe,,-30.01924089,-59.53663483,True,2,2026-08-29T03:00:00.000Z,
26622,25,Esquina,PARANAINF,Caudal medio diario,40,,alturas_prefe,,-30.01924089,-59.53663483,False,0,,
3527,26,La Paz,PARANAINF,Altura hidrométrica,2,,alturas_prefe,,-30.73419972,-59.6381167,,,,
26268,26,La Paz,PARANAINF,Altura hidrométrica media diaria,39,,alturas_prefe,,-30.73419972,-59.6381167,True,2,2026-08-29T03:00:00.000Z,
26623,26,La Paz,PARANAINF,Caudal medio diario,40,,alturas_prefe,,-30.73419972,-59.6381167,,,,
876,27,Santa Elena,PARANAINF,Caudal,4,,alturas_prefe,,-30.95,-59.7833333333333,False,0,,
26624,27,Santa Elena,PARANAINF,Caudal medio diario,40,,alturas_prefe,,-30.95,-59.7833333333333,,,,
28,28,Hernandarias,PARANAINF,Altura hidrométrica,2,,alturas_prefe,,-31.22650904,-59.99193936,,,,
26270,28,Hernandarias,PARANAINF,Altura hidrométrica media diaria,39,,alturas_prefe,,-31.22650904,-59.99193936,,,,
